t,distance,interfering,overlap_volume,coincident_fit_hazard
45.0,6.445752143859863,False,0.0,False
44.1,5.60158109664917,False,0.0,False
43.2,4.777838230133057,False,0.0,False
42.3,3.9871954917907715,False,0.0,False
41.4,3.2538812160491943,False,0.0,False
40.5,2.6040854454040527,False,0.0,False
39.6,1.9677109718322754,False,0.0,False
38.699999999999996,1.4703905582427979,False,0.0,False
37.8,1.382741928100586,False,0.0,False
36.9,0.7902622222900391,False,0.0,False
36.0,0.3994233012199402,False,0.0,False
35.099999999999994,0.3856542110443115,False,0.0,False
34.199999999999996,0.38549941778182983,False,0.0,False
33.3,0.20000076293945312,False,0.0,False
