t,distance,interfering,overlap_volume,coincident_fit_hazard
51.4,5.589931964874268,False,0.0,False
50.752941176470586,4.954630374908447,False,0.0,False
50.10588235294117,4.322818279266357,False,0.0,False
49.45882352941177,3.696289539337158,False,0.0,False
48.811764705882354,3.0782618522644043,False,0.0,False
48.16470588235294,2.4751222133636475,False,0.0,False
47.51764705882353,1.9010822772979736,False,0.0,False
46.870588235294115,1.3924715518951416,False,0.0,False
46.2235294117647,0.9349360466003418,False,0.0,False
45.576470588235296,0.4773966073989868,False,0.0,False
44.92941176470588,0.29867109656333923,False,,True
44.28235294117647,0.29867103695869446,False,0.0,False
43.63529411764706,0.29867109656333923,False,0.0,False
42.98823529411764,0.29867100715637207,False,0.0,False
42.34117647058824,0.29867100715637207,False,0.0,False
41.694117647058825,0.29867103695869446,False,0.0,False
41.04705882352941,0.14875143766403198,False,0.0,False
40.4,0.14875143766403198,False,0.0,False
